Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Ambos;2000;Arma de fogo;1250;12.17;12
RS;Rio Grande do Sul;Ambos;2000;Arma branca ou objeto contundente;285;2.78;2.87
RS;Rio Grande do Sul;Ambos;2000;Estrangulamento;33;0.32;0.33
RS;Rio Grande do Sul;Ambos;2000;Força corporal;10;0.1;0.1
RS;Rio Grande do Sul;Ambos;2000;Demais meios especificados;20;0.19;0.2
RS;Rio Grande do Sul;Ambos;2000;Meios não especificados;66;0.64;0.67
RS;Rio Grande do Sul;Ambos;2001;Arma de fogo;1343;12.97;12.79
RS;Rio Grande do Sul;Ambos;2001;Arma branca ou objeto contundente;370;3.57;3.7
RS;Rio Grande do Sul;Ambos;2001;Estrangulamento;38;0.37;0.4
RS;Rio Grande do Sul;Ambos;2001;Força corporal;16;0.15;0.16
RS;Rio Grande do Sul;Ambos;2001;Demais meios especificados;22;0.21;0.22
RS;Rio Grande do Sul;Ambos;2001;Meios não especificados;64;0.62;0.67
RS;Rio Grande do Sul;Ambos;2002;Arma de fogo;1373;13.16;12.91
RS;Rio Grande do Sul;Ambos;2002;Arma branca ou objeto contundente;411;3.94;4.01
RS;Rio Grande do Sul;Ambos;2002;Estrangulamento;39;0.37;0.4
RS;Rio Grande do Sul;Ambos;2002;Força corporal;12;0.12;0.12
RS;Rio Grande do Sul;Ambos;2002;Demais meios especificados;34;0.33;0.31
RS;Rio Grande do Sul;Ambos;2002;Meios não especificados;43;0.41;0.43
RS;Rio Grande do Sul;Ambos;2003;Arma de fogo;1365;12.99;12.73
RS;Rio Grande do Sul;Ambos;2003;Arma branca ou objeto contundente;387;3.68;3.81
RS;Rio Grande do Sul;Ambos;2003;Estrangulamento;34;0.32;0.33
RS;Rio Grande do Sul;Ambos;2003;Força corporal;23;0.22;0.23
RS;Rio Grande do Sul;Ambos;2003;Demais meios especificados;21;0.2;0.2
RS;Rio Grande do Sul;Ambos;2003;Meios não especificados;76;0.72;0.77
RS;Rio Grande do Sul;Ambos;2004;Arma de fogo;1432;13.54;13.15
RS;Rio Grande do Sul;Ambos;2004;Arma branca ou objeto contundente;432;4.09;4.13
