Território;Nome do território;Sexo;Ano;Tipo de causa externa;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
RS;Rio Grande do Sul;Ambos;2000;Lesão de trânsito;1922;18.72;19.72
RS;Rio Grande do Sul;Ambos;2000;Agressão;1664;16.2;16.17
RS;Rio Grande do Sul;Ambos;2000;Causas acidentais;1295;12.61;13.23
RS;Rio Grande do Sul;Ambos;2000;Lesão autoprovocada;1022;10.86;12.14
RS;Rio Grande do Sul;Ambos;2000;Demais causas externas;652;6.35;7.38
RS;Rio Grande do Sul;Ambos;2001;Lesão de trânsito;1841;17.78;18.82
RS;Rio Grande do Sul;Ambos;2001;Agressão;1853;17.9;17.93
RS;Rio Grande do Sul;Ambos;2001;Causas acidentais;1313;12.68;13.5
RS;Rio Grande do Sul;Ambos;2001;Lesão autoprovocada;1035;10.88;11.91
RS;Rio Grande do Sul;Ambos;2001;Demais causas externas;560;5.41;6.3
RS;Rio Grande do Sul;Ambos;2002;Lesão de trânsito;2120;20.32;21.41
RS;Rio Grande do Sul;Ambos;2002;Agressão;1912;18.33;18.18
RS;Rio Grande do Sul;Ambos;2002;Causas acidentais;1260;12.08;12.98
RS;Rio Grande do Sul;Ambos;2002;Lesão autoprovocada;1031;10.74;11.71
RS;Rio Grande do Sul;Ambos;2002;Demais causas externas;587;5.63;6.48
RS;Rio Grande do Sul;Ambos;2003;Lesão de trânsito;2074;19.74;20.61
RS;Rio Grande do Sul;Ambos;2003;Agressão;1906;18.14;18.06
RS;Rio Grande do Sul;Ambos;2003;Causas acidentais;1249;11.89;12.66
RS;Rio Grande do Sul;Ambos;2003;Lesão autoprovocada;1035;10.68;11.49
RS;Rio Grande do Sul;Ambos;2003;Demais causas externas;625;5.95;6.63
RS;Rio Grande do Sul;Ambos;2004;Lesão de trânsito;2153;20.36;21.17
RS;Rio Grande do Sul;Ambos;2004;Agressão;1980;18.73;18.4
RS;Rio Grande do Sul;Ambos;2004;Causas acidentais;1268;11.99;12.8
RS;Rio Grande do Sul;Ambos;2004;Lesão autoprovocada;1051;10.75;11.46
RS;Rio Grande do Sul;Ambos;2004;Demais causas externas;570;5.39;5.95
RS;Rio Grande do Sul;Ambos;2005;Lesão de trânsito;2058;19.34;19.97
RS;Rio Grande do Sul;Ambos;2005;Agressão;2021;19;18.8
RS;Rio Grande do Sul;Ambos;2005;Causas acidentais;1218;11.45;12.24
RS;Rio Grande do Sul;Ambos;2005;Lesão autoprovocada;1078;10.93;11.58
RS;Rio Grande do Sul;Ambos;2005;Demais causas externas;555;5.22;5.74
RS;Rio Grande do Sul;Ambos;2006;Lesão de trânsito;1977;18.48;18.88
RS;Rio Grande do Sul;Ambos;2006;Agressão;1971;18.42;18.17
RS;Rio Grande do Sul;Ambos;2006;Causas acidentais;1241;11.6;12.27
RS;Rio Grande do Sul;Ambos;2006;Lesão autoprovocada;1153;11.6;12.22
RS;Rio Grande do Sul;Ambos;2006;Demais causas externas;634;5.93;6.43
RS;Rio Grande do Sul;Ambos;2007;Lesão de trânsito;1943;18.07;18.46
RS;Rio Grande do Sul;Ambos;2007;Agressão;2181;20.29;19.79
RS;Rio Grande do Sul;Ambos;2007;Causas acidentais;1364;12.69;13.5
RS;Rio Grande do Sul;Ambos;2007;Lesão autoprovocada;1101;10.99;11.57
RS;Rio Grande do Sul;Ambos;2007;Demais causas externas;689;6.41;6.81
RS;Rio Grande do Sul;Ambos;2008;Lesão de trânsito;2052;19;19.28
RS;Rio Grande do Sul;Ambos;2008;Agressão;2372;21.97;21.35
RS;Rio Grande do Sul;Ambos;2008;Causas acidentais;1258;11.65;12.22
RS;Rio Grande do Sul;Ambos;2008;Lesão autoprovocada;1161;11.51;11.99
RS;Rio Grande do Sul;Ambos;2008;Demais causas externas;554;5.13;5.33
RS;Rio Grande do Sul;Ambos;2009;Lesão de trânsito;2066;19.05;19.21
RS;Rio Grande do Sul;Ambos;2009;Agressão;2232;20.58;20.11
RS;Rio Grande do Sul;Ambos;2009;Causas acidentais;1322;12.19;12.78
RS;Rio Grande do Sul;Ambos;2009;Lesão autoprovocada;1112;10.96;11.37
RS;Rio Grande do Sul;Ambos;2009;Demais causas externas;626;5.77;6.01
RS;Rio Grande do Sul;Ambos;2010;Lesão de trânsito;2280;20.96;21.21
RS;Rio Grande do Sul;Ambos;2010;Agressão;2067;19;18.6
RS;Rio Grande do Sul;Ambos;2010;Causas acidentais;1239;11.39;11.78
RS;Rio Grande do Sul;Ambos;2010;Lesão autoprovocada;1036;10.16;10.44
RS;Rio Grande do Sul;Ambos;2010;Demais causas externas;635;5.84;5.9
RS;Rio Grande do Sul;Ambos;2011;Lesão de trânsito;2138;19.6;19.64
RS;Rio Grande do Sul;Ambos;2011;Agressão;2058;18.87;18.43
RS;Rio Grande do Sul;Ambos;2011;Causas acidentais;1405;12.88;13.25
RS;Rio Grande do Sul;Ambos;2011;Lesão autoprovocada;1043;10.19;10.4
RS;Rio Grande do Sul;Ambos;2011;Demais causas externas;523;4.79;4.73
RS;Rio Grande do Sul;Ambos;2012;Lesão de trânsito;2131;19.47;19.38
RS;Rio Grande do Sul;Ambos;2012;Agressão;2364;21.6;21.31
RS;Rio Grande do Sul;Ambos;2012;Causas acidentais;1355;12.38;12.52
RS;Rio Grande do Sul;Ambos;2012;Lesão autoprovocada;1180;11.48;11.64
RS;Rio Grande do Sul;Ambos;2012;Demais causas externas;545;4.98;4.93
RS;Rio Grande do Sul;Ambos;2013;Lesão de trânsito;2100;19.12;19.02
RS;Rio Grande do Sul;Ambos;2013;Agressão;2314;21.07;20.78
RS;Rio Grande do Sul;Ambos;2013;Causas acidentais;1787;16.27;16.17
RS;Rio Grande do Sul;Ambos;2013;Lesão autoprovocada;1142;11.08;11.08
RS;Rio Grande do Sul;Ambos;2013;Demais causas externas;423;3.85;3.83
RS;Rio Grande do Sul;Ambos;2014;Lesão de trânsito;2078;18.84;18.74
RS;Rio Grande do Sul;Ambos;2014;Agressão;2710;24.58;24.51
RS;Rio Grande do Sul;Ambos;2014;Causas acidentais;1595;14.46;14.24
RS;Rio Grande do Sul;Ambos;2014;Lesão autoprovocada;1112;10.75;10.71
RS;Rio Grande do Sul;Ambos;2014;Demais causas externas;468;4.24;4.13
RS;Rio Grande do Sul;Ambos;2015;Lesão de trânsito;1821;16.45;16.23
