Território;Nome do território;Sexo;Ano;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.);População
RS;Rio Grande do Sul;Ambos;2000;67953;661.7;872.51;10269487
RS;Rio Grande do Sul;Ambos;2001;68296;659.7;855.96;10352540
RS;Rio Grande do Sul;Ambos;2002;69357;664.92;848.46;10430916
RS;Rio Grande do Sul;Ambos;2003;70534;671.47;840.38;10504486
RS;Rio Grande do Sul;Ambos;2004;72242;683.23;837.92;10573529
RS;Rio Grande do Sul;Ambos;2005;71229;669.53;805.68;10638582
RS;Rio Grande do Sul;Ambos;2006;72357;676.29;796.66;10699033
RS;Rio Grande do Sul;Ambos;2007;75305;700.44;808.78;10751080
RS;Rio Grande do Sul;Ambos;2008;73996;685.23;772.42;10798740
RS;Rio Grande do Sul;Ambos;2009;76788;708.05;782.04;10845002
RS;Rio Grande do Sul;Ambos;2010;77985;716.81;774.31;10879460
RS;Rio Grande do Sul;Ambos;2011;80148;734.74;775;10908380
RS;Rio Grande do Sul;Ambos;2012;79456;725.98;747.47;10944672
RS;Rio Grande do Sul;Ambos;2013;83016;755.72;760.34;10985031
RS;Rio Grande do Sul;Ambos;2014;82166;745.11;733.02;11027344
RS;Rio Grande do Sul;Ambos;2015;82349;743.85;715.36;11070711
RS;Rio Grande do Sul;Ambos;2016;87583;788.34;741.58;11109776
RS;Rio Grande do Sul;Ambos;2017;86241;774.08;712.32;11141074
RS;Rio Grande do Sul;Ambos;2018;88618;793.53;711.87;11167531
RS;Rio Grande do Sul;Ambos;2019;89238;797.17;698.53;11194346
RS;Rio Grande do Sul;Ambos;2020;92791;826.99;708.13;11220286
RS;Rio Grande do Sul;Ambos;2021;117722;1048.49;883.47;11227789
RS;Rio Grande do Sul;Ambos;2022;104096;927.73;763.66;11220506
RS;Rio Grande do Sul;Ambos;2023;93516;833.31;672.56;11222292
RS;Rio Grande do Sul;Ambos;2024;101480;903.66;708.11;11229915
RS;Rio Grande do Sul;Ambos;2025;95619;851.21;649.36;11233263
RS;Rio Grande do Sul;Homens;2000;38390;765.56;1121.22;5014652
RS;Rio Grande do Sul;Homens;2001;38741;766.65;1106.06;5053308
RS;Rio Grande do Sul;Homens;2002;38984;765.93;1090.34;5089771
RS;Rio Grande do Sul;Homens;2003;39817;777.08;1090.06;5123920
RS;Rio Grande do Sul;Homens;2004;40619;787.82;1085.26;5155877
RS;Rio Grande do Sul;Homens;2005;39884;769.07;1044.3;5185988
RS;Rio Grande do Sul;Homens;2006;40110;769.3;1023.49;5213799
RS;Rio Grande do Sul;Homens;2007;41600;794.29;1038.64;5237352
RS;Rio Grande do Sul;Homens;2008;41114;781.84;996.49;5258630
RS;Rio Grande do Sul;Homens;2009;42298;801.21;1003.8;5279293
RS;Rio Grande do Sul;Homens;2010;42624;805.15;988.88;5293913
RS;Rio Grande do Sul;Homens;2011;43557;820.91;988.99;5305914
RS;Rio Grande do Sul;Homens;2012;43159;810.89;949.71;5322394
RS;Rio Grande do Sul;Homens;2013;44958;841.69;965.57;5341424
RS;Rio Grande do Sul;Homens;2014;44719;834.06;933.76;5361628
RS;Rio Grande do Sul;Homens;2015;44413;825.16;903.95;5382339
RS;Rio Grande do Sul;Homens;2016;47326;876.29;939.82;5400714
RS;Rio Grande do Sul;Homens;2017;46763;863.59;905.01;5414984
RS;Rio Grande do Sul;Homens;2018;47700;878.96;900.42;5426874
RS;Rio Grande do Sul;Homens;2019;47236;868.39;868.39;5439509
RS;Rio Grande do Sul;Homens;2020;50001;917.17;895.1;5451684
RS;Rio Grande do Sul;Homens;2021;62940;1154.05;1101.94;5453858
RS;Rio Grande do Sul;Homens;2022;54638;1002.81;945.94;5448463
RS;Rio Grande do Sul;Homens;2023;49406;906.84;835.71;5448178
RS;Rio Grande do Sul;Homens;2024;53288;977.56;876.12;5451137
RS;Rio Grande do Sul;Homens;2025;49661;910.88;794.68;5451956
RS;Rio Grande do Sul;Mulheres;2000;29540;562.15;672.83;5254835
RS;Rio Grande do Sul;Mulheres;2001;29551;557.65;655.72;5299232
RS;Rio Grande do Sul;Mulheres;2002;30370;568.6;654.7;5341145
RS;Rio Grande do Sul;Mulheres;2003;30709;570.74;642.28;5380566
RS;Rio Grande do Sul;Mulheres;2004;31615;583.56;641.67;5417652
RS;Rio Grande do Sul;Mulheres;2005;31338;574.74;617.25;5452594
RS;Rio Grande do Sul;Mulheres;2006;32245;587.85;617.05;5485234
RS;Rio Grande do Sul;Mulheres;2007;33694;611.09;626.85;5513728
RS;Rio Grande do Sul;Mulheres;2008;32874;593.38;594.13;5540110
RS;Rio Grande do Sul;Mulheres;2009;34489;619.67;605.43;5565709
RS;Rio Grande do Sul;Mulheres;2010;35354;632.96;602.96;5585547
RS;Rio Grande do Sul;Mulheres;2011;36574;652.82;606.12;5602466
RS;Rio Grande do Sul;Mulheres;2012;36285;645.38;585.64;5622278
RS;Rio Grande do Sul;Mulheres;2013;38039;674.02;596.01;5643607
RS;Rio Grande do Sul;Mulheres;2014;37438;660.78;569.79;5665716
RS;Rio Grande do Sul;Mulheres;2015;37927;666.75;562.05;5688372
RS;Rio Grande do Sul;Mulheres;2016;40243;704.9;580.58;5709062
RS;Rio Grande do Sul;Mulheres;2017;39474;689.37;555.67;5726090
RS;Rio Grande do Sul;Mulheres;2018;40855;711.68;557.8;5740657
RS;Rio Grande do Sul;Mulheres;2019;41989;729.63;559.33;5754837
RS;Rio Grande do Sul;Mulheres;2020;42776;741.53;556.59;5768602
RS;Rio Grande do Sul;Mulheres;2021;54732;947.92;706.5;5773931
RS;Rio Grande do Sul;Mulheres;2022;49440;856.54;615.2;5772043
RS;Rio Grande do Sul;Mulheres;2023;44100;763.75;538.54;5774114
RS;Rio Grande do Sul;Mulheres;2024;48179;833.72;569.93;5778778
RS;Rio Grande do Sul;Mulheres;2025;45941;794.65;529.26;5781307
430003;Aceguá;Ambos;2000;0;0;0;3959
430003;Aceguá;Ambos;2001;19;475.24;671.68;3998
430003;Aceguá;Ambos;2002;27;666.67;885.94;4050
430003;Aceguá;Ambos;2003;39;947.29;1301.81;4117
430003;Aceguá;Ambos;2004;29;695.61;943.61;4169
430003;Aceguá;Ambos;2005;20;474.38;661.31;4216
430003;Aceguá;Ambos;2006;28;655.28;811.63;4273
430003;Aceguá;Ambos;2007;35;812.63;1126.03;4307
430003;Aceguá;Ambos;2008;23;527.89;708.15;4357
430003;Aceguá;Ambos;2009;17;386.01;562.21;4404
430003;Aceguá;Ambos;2010;31;700.72;909.93;4424
430003;Aceguá;Ambos;2011;41;925.3;1054.15;4431
430003;Aceguá;Ambos;2012;29;656.11;805.16;4420
430003;Aceguá;Ambos;2013;24;542.74;628.66;4422
430003;Aceguá;Ambos;2014;20;453.51;496.62;4410
430003;Aceguá;Ambos;2015;33;751.37;794.42;4392
430003;Aceguá;Ambos;2016;28;640.73;658.4;4370
430003;Aceguá;Ambos;2017;23;527.16;525.96;4363
430003;Aceguá;Ambos;2018;29;668.82;648.85;4336
430003;Aceguá;Ambos;2019;27;623.12;591.27;4333
430003;Aceguá;Ambos;2020;42;972.9;884.92;4317
430003;Aceguá;Ambos;2021;50;1165.77;1045.19;4289
430003;Aceguá;Ambos;2022;26;608.9;535.92;4270
430003;Aceguá;Ambos;2023;37;873.67;739.96;4235
430003;Aceguá;Ambos;2024;36;846.46;695.15;4253
430003;Aceguá;Ambos;2025;43;1011.53;850.48;4251
430003;Aceguá;Homens;2000;0;0;0;2076
430003;Aceguá;Homens;2001;13;619.34;917.45;2099
430003;Aceguá;Homens;2002;20;939.41;1332.09;2129
430003;Aceguá;Homens;2003;23;1063.83;1410.03;2162
430003;Aceguá;Homens;2004;17;775.19;1035.66;2193
430003;Aceguá;Homens;2005;12;540.54;713.97;2220
430003;Aceguá;Homens;2006;17;757.58;920.3;2244
430003;Aceguá;Homens;2007;22;973.88;1246.63;2259
430003;Aceguá;Homens;2008;11;482.03;602.11;2282
